date,count_first_or_mid_general,count_second_or_full_general
2021-04-12,3026,0
2021-04-13,2742,0
2021-04-14,2979,0
2021-04-15,3855,0
2021-04-16,3262,0
2021-04-17,3626,0
2021-04-18,5656,0
2021-04-19,11236,0
2021-04-20,19338,0
2021-04-21,23149,0
2021-04-22,21490,0
2021-04-23,16813,0
2021-04-24,14682,0
2021-04-25,13779,0
2021-04-26,23754,0
2021-04-27,32714,0
2021-04-28,31770,0
2021-04-29,11368,0
2021-04-30,23324,0
2021-05-01,19198,0
2021-05-02,19446,0
2021-05-03,5292,726
2021-05-04,6253,516
2021-05-05,7583,618
2021-05-06,29069,3783
2021-05-07,26948,3419
2021-05-08,44492,3352
2021-05-09,60681,5676
2021-05-10,71174,8868
2021-05-11,90636,13929
2021-05-12,116587,16302
2021-05-13,115059,14997
2021-05-14,92744,10779
2021-05-15,105894,10512
2021-05-16,155187,11139
2021-05-17,155153,16321
2021-05-18,183643,21748
2021-05-19,222606,21070
2021-05-20,225376,8698
2021-05-21,195892,15701
2021-05-22,200762,15396
2021-05-23,207249,15242
2021-05-24,306831,5437
2021-05-25,340888,5875
2021-05-26,362468,6958
2021-05-27,329183,20561
2021-05-28,293396,16164
2021-05-29,197218,19218
